experiment_id,modelo,ruta_experimento,artefactos_disponibles,puede_calcular_purity,puede_calcular_silhouette,puede_calcular_davies_bouldin,requiere_reentrenamiento,motivo
04ED5E1065,AA,resultados\experimentos\AA_04ED5E1065_rrlyrae_percentiles_50_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
68A6704FB5,AA,resultados\experimentos\AA_68A6704FB5_rrlyrae_percentiles_50_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
858C6A101F,AA,resultados\experimentos\AA_858C6A101F_rrlyrae_percentiles_50_K8,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
094A37D07F,AA,resultados\experimentos\AA_094A37D07F_rrlyrae_percentiles_50_K10,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
D9CDFAB48F,AA,resultados\experimentos\AA_D9CDFAB48F_rrlyrae_percentiles_50_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
B7522AB659,AA,resultados\experimentos\AA_B7522AB659_rrlyrae_percentiles_50_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
E7EEDD570A,AA,resultados\experimentos\AA_E7EEDD570A_rrlyrae_percentiles_50_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
D56D2F00B9,AA,resultados\experimentos\AA_D56D2F00B9_rrlyrae_percentiles_50_K8,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
58B4F6DAC6,AA,resultados\experimentos\AA_58B4F6DAC6_rrlyrae_percentiles_50_K10,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
A1BA2B3A60,AA,resultados\experimentos\AA_A1BA2B3A60_rrlyrae_percentiles_100_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
133BD67046,AA,resultados\experimentos\AA_133BD67046_rrlyrae_percentiles_100_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
D257149130,AA,resultados\experimentos\AA_D257149130_rrlyrae_percentiles_100_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
2228511C11,AA,resultados\experimentos\AA_2228511C11_rrlyrae_percentiles_100_K8,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
6C5343FEF6,AA,resultados\experimentos\AA_6C5343FEF6_rrlyrae_percentiles_100_K10,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
E66CE911A5,AA,resultados\experimentos\AA_E66CE911A5_rrlyrae_percentiles_100_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
807F68C2DD,AA,resultados\experimentos\AA_807F68C2DD_rrlyrae_percentiles_100_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
E926337EBD,AA,resultados\experimentos\AA_E926337EBD_rrlyrae_percentiles_100_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
475C29A2AB,AA,resultados\experimentos\AA_475C29A2AB_rrlyrae_percentiles_100_K8,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
2C0F08E6F7,AA,resultados\experimentos\AA_2C0F08E6F7_rrlyrae_percentiles_100_K10,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
5364141478,AA,resultados\experimentos\AA_5364141478_rrlyrae_percentiles_100_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
18CF736C44,AA,resultados\experimentos\AA_18CF736C44_rrlyrae_percentiles_100_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
CF13F398EC,AA,resultados\experimentos\AA_CF13F398EC_rrlyrae_percentiles_100_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
C9DAC0ED18,AA,resultados\experimentos\AA_C9DAC0ED18_rrlyrae_percentiles_100_K8,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
EB77060172,AA,resultados\experimentos\AA_EB77060172_rrlyrae_percentiles_100_K10,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
2ECEE51D13,AA,resultados\experimentos\AA_2ECEE51D13_rrlyrae_interpolacion_50_K4_new_20260705_002526,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
1C81EFFA74,AA,resultados\experimentos\AA_1C81EFFA74_rrlyrae_percentiles_50_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
B3A54AF9EE,AA,resultados\experimentos\AA_B3A54AF9EE_rrlyrae_percentiles_50_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
6A36935464,AA,resultados\experimento_final,"alpha,beta,Z,ids,X_hat,config,metricas",True,True,True,False,OK
0A76EB037A,KMEANS,resultados\baselines\kmeans,"labels,ids,X_hat,config,metricas",True,True,True,False,OK
9E840A67C6,ADA,resultados\baselines\ada,"asignaciones,ids,X_hat,config,metricas",True,True,True,False,OK
