star_id,subtipo_rrlyrae,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,arquetipo_dominante,star_id_base,archivo_origen
OGLEIV_OGLE-SMC-RRLYR-5983,RRab,0.0,0.5341976225794145,0.0,0.0,0.4258962189794502,0.03990614885084874,2,OGLE-SMC-RRLYR-5983,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5984,RRab,0.0,0.8335605289627757,0.06834756363658513,0.040047556182217406,0.0,0.05804434177999338,2,OGLE-SMC-RRLYR-5984,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5986,RRc,0.0,0.0,0.0,0.7309722094844012,0.0,0.2690277796208383,4,OGLE-SMC-RRLYR-5986,datos\raw\periodos\OGLEIV\SMC\RRc.dat
OGLEIV_OGLE-SMC-RRLYR-5987,RRab,0.0,0.0,0.028343398137392513,0.0,0.9716565926697833,0.0,5,OGLE-SMC-RRLYR-5987,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5988,RRab,0.17688051287197654,0.37737500440803473,0.0,0.0,0.4457444729409184,0.0,5,OGLE-SMC-RRLYR-5988,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5990,RRab,0.1485364278467949,0.5058599727169675,0.08569505419151366,0.0,0.0,0.2599085354256872,2,OGLE-SMC-RRLYR-5990,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5991,RRab,0.0,0.8492552436777618,0.15074474669054427,0.0,0.0,0.0,2,OGLE-SMC-RRLYR-5991,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5992,RRab,0.0,0.6399434676012645,0.0,0.0,0.3600565219710098,0.0,2,OGLE-SMC-RRLYR-5992,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5994,RRab,0.07158812047651222,0.0,0.44367528839918463,0.48473658041132445,0.0,0.0,4,OGLE-SMC-RRLYR-5994,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5995,RRab,0.0,0.378272545647405,0.0,0.011321288193200638,0.610406155760396,0.0,5,OGLE-SMC-RRLYR-5995,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5996,RRc,0.0,0.0,0.05157446191867749,0.9470032337354259,0.0,0.0014222939583069531,4,OGLE-SMC-RRLYR-5996,datos\raw\periodos\OGLEIV\SMC\RRc.dat
OGLEIV_OGLE-SMC-RRLYR-5997,RRab,0.0,0.3292502988521869,0.0,0.0,0.6707496906936309,0.0,5,OGLE-SMC-RRLYR-5997,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-5998,RRab,0.631494529695026,0.2665486038567773,0.0,0.0,0.0,0.10195685678209147,1,OGLE-SMC-RRLYR-5998,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6001,RRd,0.0,0.0550390347792124,0.0,0.6334479452664181,0.0,0.31151300959375505,4,OGLE-SMC-RRLYR-6001,datos\raw\periodos\OGLEIV\SMC\RRd.dat
OGLEIV_OGLE-SMC-RRLYR-6002,RRab,0.038105416993976585,0.0,0.027642778958902468,0.0,0.9342517946034261,0.0,5,OGLE-SMC-RRLYR-6002,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6006,RRab,0.0,0.36594763516190754,0.0,0.0,0.6340523539289722,0.0,5,OGLE-SMC-RRLYR-6006,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6010,RRab,0.0,0.8553525499311716,0.0,0.0,0.0,0.14464743911196246,2,OGLE-SMC-RRLYR-6010,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6012,RRab,0.0,0.8674716808882632,0.0,0.0,0.1325283077477962,0.0,2,OGLE-SMC-RRLYR-6012,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6013,RRab,0.0,0.5742889739091311,0.03664340302025388,0.0,0.0,0.38906761227450665,2,OGLE-SMC-RRLYR-6013,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6014,RRab,0.01918088612911203,0.0,0.0,0.0,0.7527908934102323,0.22802821015475802,5,OGLE-SMC-RRLYR-6014,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6015,RRab,0.0,0.32451593680722485,0.0,0.0,0.6754840529321956,0.0,5,OGLE-SMC-RRLYR-6015,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6016,RRab,0.0,0.0,0.09962126183562334,0.0,0.9003787289979726,0.0,5,OGLE-SMC-RRLYR-6016,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6017,RRab,0.0,0.0,0.0,0.0,0.999999989262009,0.0,5,OGLE-SMC-RRLYR-6017,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6018,RRab,0.1766575981190726,0.6655510967508641,0.0,0.0,0.15779129542080012,0.0,2,OGLE-SMC-RRLYR-6018,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6019,RRab,0.0,0.0,0.750324098672094,0.24967588993540554,0.0,0.0,3,OGLE-SMC-RRLYR-6019,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6021,RRd,0.35453471689041977,0.0,0.0,0.0,0.05895335251020324,0.5865119196464826,6,OGLE-SMC-RRLYR-6021,datos\raw\periodos\OGLEIV\SMC\RRd.dat
OGLEIV_OGLE-SMC-RRLYR-6022,RRab,0.08985011605224759,0.20603103016570032,0.0,0.0,0.7041188430905817,0.0,5,OGLE-SMC-RRLYR-6022,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6024,RRc,0.0,0.0,0.1813047017793542,0.8186952877330245,0.0,0.0,4,OGLE-SMC-RRLYR-6024,datos\raw\periodos\OGLEIV\SMC\RRc.dat
OGLEIV_OGLE-SMC-RRLYR-6025,RRc,0.17319762286514023,0.0,0.1806869258814429,0.5595010313028285,0.0,0.08661440917704635,4,OGLE-SMC-RRLYR-6025,datos\raw\periodos\OGLEIV\SMC\RRc.dat
OGLEIV_OGLE-SMC-RRLYR-6029,RRab,0.002304492339917929,0.33484336536798215,0.0,0.04624446047980403,0.6166076704319198,0.0,5,OGLE-SMC-RRLYR-6029,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6030,RRab,0.0,0.908606395499012,0.0,0.0,0.0,0.09139359236200696,2,OGLE-SMC-RRLYR-6030,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6031,RRab,0.0,0.9999999893204681,0.0,0.0,0.0,0.0,2,OGLE-SMC-RRLYR-6031,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6032,RRab,0.0,0.0,0.0,0.0,0.9999999895695167,0.0,5,OGLE-SMC-RRLYR-6032,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6033,RRab,0.11253730616882593,0.0,0.0,0.0,0.8874626843560709,0.0,5,OGLE-SMC-RRLYR-6033,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6034,RRab,0.5753336677930609,0.27015827765030875,0.0034046333907416823,0.0,0.1511034121514387,0.0,1,OGLE-SMC-RRLYR-6034,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6036,RRc,0.0,0.0,0.0,0.8484773059592591,0.0,0.151522684712861,4,OGLE-SMC-RRLYR-6036,datos\raw\periodos\OGLEIV\SMC\RRc.dat
OGLEIV_OGLE-SMC-RRLYR-6038,RRc,0.0,0.0,0.23259098981799914,0.7674090001529489,0.0,0.0,4,OGLE-SMC-RRLYR-6038,datos\raw\periodos\OGLEIV\SMC\RRc.dat
OGLEIV_OGLE-SMC-RRLYR-6039,RRc,0.3317467421371902,0.0,0.0,0.38619307433786954,0.0,0.2820601738452649,4,OGLE-SMC-RRLYR-6039,datos\raw\periodos\OGLEIV\SMC\RRc.dat
OGLEIV_OGLE-SMC-RRLYR-6041,RRab,0.0,0.0,0.0,0.04950325344735117,0.9504967372444011,0.0,5,OGLE-SMC-RRLYR-6041,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6042,RRab,0.31341956942676896,0.2763820916092886,0.0,0.0516759321182217,0.3585223970545785,0.0,5,OGLE-SMC-RRLYR-6042,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6044,RRab,0.06859268375069051,0.0,0.2743098512544205,0.0,0.0,0.6570974559855076,6,OGLE-SMC-RRLYR-6044,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6045,RRab,0.0,0.3648259902262085,0.0,0.07488470610324276,0.5602892940977412,0.0,5,OGLE-SMC-RRLYR-6045,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6046,RRab,0.0,0.7959177046757597,0.0,0.0,0.0,0.20408228415996887,2,OGLE-SMC-RRLYR-6046,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6048,RRc,0.0,0.0,0.999999989585085,0.0,0.0,0.0,3,OGLE-SMC-RRLYR-6048,datos\raw\periodos\OGLEIV\SMC\RRc.dat
OGLEIV_OGLE-SMC-RRLYR-6050,RRab,0.1772536420635722,0.0,0.0,0.048347790808178026,0.0,0.7743985568474503,6,OGLE-SMC-RRLYR-6050,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6051,RRab,0.0,0.0,0.05495148054916496,0.0,0.9450485097294343,0.0,5,OGLE-SMC-RRLYR-6051,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6054,RRc,0.0,0.0,0.9999999905268009,0.0,0.0,0.0,3,OGLE-SMC-RRLYR-6054,datos\raw\periodos\OGLEIV\SMC\RRc.dat
OGLEIV_OGLE-SMC-RRLYR-6055,RRab,0.5223293678187342,0.2589810766726365,0.0,0.0,0.21868954609742264,0.0,1,OGLE-SMC-RRLYR-6055,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6058,RRab,0.4538569384889148,0.0,0.11173874698535433,0.24629243807896076,0.0,0.18811186605104796,1,OGLE-SMC-RRLYR-6058,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6059,RRab,0.42316328554565735,0.0,0.014749385085045886,0.0,0.5620873189323127,0.0,5,OGLE-SMC-RRLYR-6059,datos\raw\periodos\OGLEIV\SMC\RRab.dat
OGLEIV_OGLE-SMC-RRLYR-6060,RRc,0.0,0.0,0.9999999886696814,0.0,0.0,0.0,3,OGLE-SMC-RRLYR-6060,datos\raw\periodos\OGLEIV\SMC\RRc.dat
OGLEIV_OGLE-SMC-RRLYR-6061,RRab,0.0,0.0,0.0,0.028976968623825605,0.9710230215228758,0.0,5,OGLE-SMC-RRLYR-6061,datos\raw\periodos\OGLEIV\SMC\RRab.dat
